Date,Time_Start,Time_End,Crop_Type,Base_Hourly_Wage,Supply_Demand_Ratio,Dynamic_Pricing_Multiplier,Total_Earnings
2023-01-26,07:30:00,16:30:00,Wheat,12.0,1.2,1.495,161.46
2023-01-24,07:30:00,15:30:00,Soybeans,12.5,1.3,1.625,162.5
2023-01-20,07:30:00,16:30:00,Wheat,12.0,1.4,1.495,161.46
2023-01-31,08:00:00,17:00:00,Corn,11.5,1.1,1.375,142.3125
2023-01-27,09:00:00,17:00:00,Corn,11.5,1.4,1.625,149.5
2023-01-21,08:00:00,16:00:00,Corn,11.5,1.2,1.725,158.70000000000002
2023-01-23,09:00:00,18:00:00,Corn,11.5,1.4,1.625,168.1875
2023-01-30,09:00:00,17:00:00,Corn,11.5,1.1,1.56,143.52
2023-01-30,07:30:00,15:30:00,Soybeans,12.5,1.3,1.56,156.0
2023-01-29,09:00:00,17:00:00,Corn,11.5,1.1,1.375,126.5
2023-01-18,09:00:00,18:00:00,Corn,11.5,1.1,1.44,149.04
2023-01-24,09:00:00,17:00:00,Corn,11.5,1.4,1.725,158.70000000000002
2023-01-26,08:00:00,17:00:00,Soybeans,12.5,1.4,1.495,168.1875
2023-01-18,08:00:00,16:00:00,Soybeans,12.5,1.3,1.44,144.0
2023-01-27,09:00:00,17:00:00,Wheat,12.0,1.2,1.56,149.76
2023-01-30,07:30:00,16:30:00,Soybeans,12.5,1.5,1.56,175.5
2023-01-31,09:00:00,18:00:00,Corn,11.5,1.3,1.725,178.53750000000002
2023-01-18,09:00:00,17:00:00,Soybeans,12.5,1.5,1.375,137.5
2023-01-31,08:00:00,17:00:00,Corn,11.5,1.2,1.56,161.46
2023-01-20,09:00:00,17:00:00,Soybeans,12.5,1.1,1.375,137.5
2023-01-27,08:00:00,16:00:00,Wheat,12.0,1.4,1.44,138.24
2023-01-20,07:30:00,16:30:00,Corn,11.5,1.1,1.44,149.04
2023-01-27,07:30:00,15:30:00,Corn,11.5,1.3,1.625,149.5
2023-01-22,09:00:00,17:00:00,Corn,11.5,1.4,1.495,137.54000000000002
2023-01-22,09:00:00,18:00:00,Corn,11.5,1.1,1.44,149.04
2023-01-27,08:00:00,16:00:00,Corn,11.5,1.1,1.625,149.5
2023-01-25,07:30:00,16:30:00,Soybeans,12.5,1.5,1.56,175.5
2023-01-23,09:00:00,17:00:00,Wheat,12.0,1.2,1.375,132.0
2023-01-25,08:00:00,16:00:00,Wheat,12.0,1.1,1.495,143.52
2023-01-26,09:00:00,17:00:00,Wheat,12.0,1.1,1.725,165.60000000000002
2023-01-20,09:00:00,18:00:00,Corn,11.5,1.2,1.44,149.04
2023-01-31,08:00:00,16:00:00,Wheat,12.0,1.1,1.375,132.0
2023-01-31,08:00:00,17:00:00,Corn,11.5,1.3,1.625,168.1875
2023-01-20,09:00:00,17:00:00,Corn,11.5,1.2,1.375,126.5
2023-02-01,09:00:00,17:00:00,Corn,11.5,1.4,1.725,158.70000000000002
2023-01-22,09:00:00,17:00:00,Corn,11.5,1.3,1.625,149.5
2023-01-30,08:00:00,16:00:00,Soybeans,12.5,1.1,1.56,156.0
2023-01-31,09:00:00,17:00:00,Wheat,12.0,1.5,1.375,132.0
2023-01-25,07:30:00,16:30:00,Soybeans,12.5,1.5,1.625,182.8125
2023-01-20,08:00:00,17:00:00,Corn,11.5,1.2,1.625,168.1875
2023-01-29,08:00:00,16:00:00,Wheat,12.0,1.5,1.625,156.0
2023-01-28,09:00:00,18:00:00,Corn,11.5,1.2,1.44,149.04
2023-01-20,09:00:00,18:00:00,Wheat,12.0,1.2,1.725,186.3
2023-01-21,09:00:00,17:00:00,Wheat,12.0,1.5,1.375,132.0
2023-01-25,08:00:00,16:00:00,Corn,11.5,1.5,1.725,158.70000000000002
2023-01-27,09:00:00,17:00:00,Corn,11.5,1.2,1.375,126.5
2023-01-28,09:00:00,18:00:00,Wheat,12.0,1.3,1.375,148.5
2023-01-24,07:30:00,16:30:00,Corn,11.5,1.2,1.56,161.46
2023-01-24,07:30:00,15:30:00,Soybeans,12.5,1.3,1.56,156.0
2023-01-30,07:30:00,16:30:00,Wheat,12.0,1.3,1.625,175.5
2023-01-31,09:00:00,17:00:00,Soybeans,12.5,1.3,1.625,162.5
2023-01-23,07:30:00,16:30:00,Soybeans,12.5,1.3,1.625,182.8125
2023-01-31,08:00:00,17:00:00,Soybeans,12.5,1.2,1.725,194.0625
2023-01-27,07:30:00,16:30:00,Soybeans,12.5,1.1,1.44,162.0
2023-01-29,07:30:00,16:30:00,Corn,11.5,1.5,1.625,168.1875
2023-02-01,07:30:00,15:30:00,Wheat,12.0,1.5,1.625,156.0
2023-01-26,08:00:00,16:00:00,Soybeans,12.5,1.1,1.495,149.5
2023-02-01,08:00:00,16:00:00,Corn,11.5,1.1,1.56,143.52
2023-01-27,07:30:00,16:30:00,Corn,11.5,1.5,1.725,178.53750000000002
2023-01-18,08:00:00,17:00:00,Corn,11.5,1.1,1.725,178.53750000000002
2023-01-25,07:30:00,16:30:00,Corn,11.5,1.5,1.375,142.3125
2023-01-29,08:00:00,16:00:00,Wheat,12.0,1.4,1.44,138.24
2023-01-28,07:30:00,16:30:00,Wheat,12.0,1.2,1.44,155.51999999999998
2023-01-28,09:00:00,18:00:00,Soybeans,12.5,1.1,1.625,182.8125
2023-01-26,08:00:00,16:00:00,Corn,11.5,1.4,1.625,149.5
2023-01-25,09:00:00,18:00:00,Corn,11.5,1.3,1.56,161.46
2023-01-29,09:00:00,17:00:00,Wheat,12.0,1.1,1.625,156.0
2023-01-30,08:00:00,16:00:00,Wheat,12.0,1.4,1.44,138.24
2023-01-28,09:00:00,18:00:00,Corn,11.5,1.1,1.495,154.73250000000002
2023-01-20,07:30:00,16:30:00,Soybeans,12.5,1.5,1.725,194.0625
2023-01-18,08:00:00,16:00:00,Wheat,12.0,1.1,1.56,149.76
2023-01-24,08:00:00,16:00:00,Corn,11.5,1.5,1.495,137.54000000000002
2023-01-25,09:00:00,17:00:00,Wheat,12.0,1.1,1.725,165.60000000000002
2023-01-31,09:00:00,18:00:00,Wheat,12.0,1.3,1.44,155.51999999999998
2023-01-20,09:00:00,18:00:00,Soybeans,12.5,1.2,1.375,154.6875
2023-01-24,07:30:00,16:30:00,Corn,11.5,1.2,1.375,142.3125
2023-01-28,07:30:00,16:30:00,Wheat,12.0,1.4,1.625,175.5
2023-01-29,07:30:00,16:30:00,Corn,11.5,1.1,1.495,154.73250000000002
2023-01-27,09:00:00,18:00:00,Wheat,12.0,1.2,1.725,186.3
2023-01-29,09:00:00,18:00:00,Wheat,12.0,1.5,1.44,155.51999999999998
2023-01-18,08:00:00,17:00:00,Wheat,12.0,1.5,1.625,175.5
2023-01-25,07:30:00,15:30:00,Soybeans,12.5,1.3,1.44,144.0
2023-01-27,09:00:00,17:00:00,Corn,11.5,1.2,1.495,137.54000000000002
2023-01-21,07:30:00,15:30:00,Corn,11.5,1.3,1.375,126.5
